Reviews1,Theme1
The organisation principles.,Organization Principles
"My work profile, i being a fresher just out of my mangement institute have bee given my favorite work profil",Satisfied
The joy of interaction will colleagues the sense of achievement and appreciation,"Interaction with employees, Sense of Achievement & Appreciation"
Positive growth with fair competition.,Good environment
"Vibrant team activities, team lunch , festival celebrations, heart to heart sessions etc","Employee Engagement- Celebration of Festivals, Team bonding"
"Contributing to society by manufacturing reliable, quality goods which are safe. also time to time we do some charity activities too for social cause.", 
"Cultural environment , stress-free environment , flexible office timings , clean & fresh working space , proper seating arrangement.",Positve Organizational Culture
All department working together organisation goal,Unified organizational goal
Birthday gift, 
Na, 
Good and challenging work. very humble and down-to-earth japanese culture. world class working place and desk. intellectual set of people. ,"Good environment, Positve Organizational Culture"
"New office has better facilities like lunch room, better washrooms, better sitting space in comparison to earlier.",Better Environment in new office
Appreciation of works ,Rewards and Recognition
, 
Celebrating succes of each other,Employee Engagement
Freedom to work  ,Freedom to perform Job
The culture and the cheeerfulness of colleagues,Positve Organizational Culture
Open door approach across all levels.,Openess across all levels
Work culture. being part of an organisation on the move,Positve Organizational Culture
The culture, 
"My team and vibrant Org X wonderful initiatives for team building. e.g power to win training, desi warriors initiative, festivals competitions/celebrations.","Collaboration and Teamwork, Employee Engagement- Celebration of Festivals"
Fitness area bcos after working 8 hours in office there is no time to go out and do some extra activities for fitness ., 
"Freedom to express, empowerment.", 
My work.. and colleagues, 
, 
/, 
Achievement of target,Target Achivement
More openess with in organisation  cross funtional activities in all division,Tranparency in Communication
Recognition    ,Rewards and Recognition
Work atmosphere,
Long service awards to employees ,Rewards and Recognition
., 
Job profile and nature of our business activity in industrial sales which still follows direction from imsd. , 
, 
None, 
Vibrant Org X & job roles description, 
Culter and open enviornement,Positve Organizational Culture
Freeness/ activities, 
Transparency,Tranparency in Communication
We have a cross cultural environment due to the presence of expat colleagues and we never feel out of place and are embraced by our overseas colleagues.,Positve Organizational Culture
"Vibrant culture, celebration of festivals, cultural activities. for ex. celebration of independence day.","Positve Organizational Culture, Employee Engagement- Celebration of Festivals"
Helping co-workers and joyful working atmosphere,"Supporting Colleagues, Good environment"
Cultural activities,Employee Engagement - Celebration of Festivals
., 
"Gymnasium, baby care centre, breakaway zones to relax ourselves from the work pressure","Wellness, Creche, Relaxing areas"
Celebration for star of the month heighlighted every month in our branch. ,Employee Engagement- Best Performer
Culture & commitment is biggest source of happiness. eg: culture of our company is adaptable and commitments towards employees are taken by our organization.,Positve Organizational Culture
"Unique culture , freedom to perform one's duty","Positve Organizational Culture, Freedom"
Induction during joing of the organisation,Induction
"Continuous appreciation from management for my work. initiative taken by hr team to make the system fun loveing and interesting always like vibrant Org X activities (team lunch, fun day, kss) musical bands durig lunch time, participations in corporate acitivites etc....","Constant Appreciation, Employee engagement- Festivals & Cultural Activities"
"The biggest source is celebrating every moment together whether it is celebrating festivals,curicullar activities,games etc","Employee Engagement - Celebration of Festivals, extracuricular activities"
"Family support.  in our orgnization primisses there is cruch for kids, so mother can take care of kids with office work.",Creche
Commitment to your work  i have seen people being appreciated for their level of commitment to the work, 
Supportive seniors ,Suporting Seniors
Work autonomy. The organization entrusts a person with a job and gives him / her complete autonomy to accomplish it the way he considers best,"Autonomy, Empowerment"
Leave,Benefits - Like Leave
It;s reputation in the market. It is the best healthcare provider in northern part wit international accreditation.,Brand Name
Celebrate the festival together,Celebrations at Work
Challenges,Challenging Work
For Me: My Job of exploring technology and resolving technical issues of everyone. It gives me a state of satisfaction that I'm helping out the people by resolving their technical problems. It leads to make me efficient to fix my personal problems effectively too.,Challenging Work
"My work, my discipline and my team","Challenging Work, Team Work"
Communication,Communication 
SALARY  PATIENT SATISFACTION AFTER UR TREATMENT,"Compensation, Customer Satisfaction"
Continuous Improvement & Growth ,Continuous Improvement
work culture.,Culture
The work culture,Culture
Compassionate culture,Culture
the work culture and the collegues of the organization are the biggest source of happiness.,"Culture, Good Relationships with Colleagues"
when a patient goes home well after completing treatment,Customer Satisfaction
When patients or attendants appreciate your work and they only trust you and ask you when you are here. It feels special and make us satisfied.,Customer Satisfaction
Success in treating patients who have been refused treatment/ unsuccessfully managed elsewhere- in short the proficiency of medical personnel ,Customer Satisfaction
Patient satisfaction,Customer Satisfaction
patient satisfaction,Customer Satisfaction
Patient satisfiction,Customer Satisfaction
Patient Satisfaction,Customer Satisfaction
Quality patient care and appreciation from patients.,Customer Satisfaction
Good clinical care,Customer Satisfaction
"We have got the best talent, and we don't have to go to other organizations for second opinion.",Customer Satisfaction
"When patients says thank you Aruna, and appriciate me in front of my dr. it makes me worth doing my job.  Example: DIG of NSG Mr. Jyoti krishan Dutt came to OPD, I make sure he do not have to wait, with due respect i take care of him, his wife was so pleased that she said keep Org X proud like this, do not change your behaviour ever. so im highly overwhlemed when dr. Ghosh thanked me to take care of his patient. and said keep it up...",Customer Satisfaction
Patient and staff satisfaction  Commercial success of organization  Academic Progress of individuals,Customer Satisfaction
have to think deeply about it. I guess serving patients in our own way,Customer Satisfaction
"While working in a hospital, within defined specification, opportunity to help a patient or a human being is the best source of happines for me.",Customer Satisfaction
healing the patients disease is the biggest source of happiness and taking patients with care and campassion makes us happy that we make someone happy in their life.,Customer Satisfaction
"The business we are in - healthcare! It gives immense pleasure to cure people, rid them of illnesses, and help them become healthy again.",Customer Satisfaction
pateints. It gives immense pleasure to see and treat them well. The appreciation and good wihes we get from them.,Customer Satisfaction
Decentralization of department. Unity of command,Decentralized Organization
"you have been given free hand to work and incase, of failute they will not discourage you.",Empowerment
"Meals, its wholesome and refereshing with diverse menu",Good Food
friends,Good Relationships among colleagues
Mutual Understanding and team work,Good Relationships among colleagues
my colleagues (department staff),Good Relationships among colleagues
Team colleagues- they look out for each other,Good Relationships among colleagues
good collegues,Good Relationships among colleagues
collegues,Good Relationships among colleagues
"We have plenty of opportunities available in the work place,which is good for a beginner to learn of the practical work and all. The Team of any field are helpful in regards of any request for problem issues.     ",Good Relationships among colleagues
All Colleagues are good.  ,Good Relationships among colleagues
Our mutual coordination,Good Relationships among colleagues
working in a big institute with the best people in the field in a collegial environment. ,Good Relationships among colleagues
"Well Planed Working Envirnoment, Which create happiness for every one.",Good Work Environment
Helathy & frindly Workplace ,Good Work Environment
Healthy Atmospher at work place ,Good Work Environment
Happy work place,Good Work Environment
work environment ,Good Work Environment
Smooth Atmosphere.,Good Work Environment
"Environment, Work satisfaction",Good Work Environment
The enviornment and the culture which makes me to feel good and work here.,"Good Work Environment, Culture"
Pleasant working atmosphere and healthy interpersonal relationship among all.,"Good Work Environment, Good Relationships among colleagues"
"satisfactory work enviroment, best increment as we are best in health care  sector . good interdepartmental relationship, appericiation & recogniation  of work during appraisal","Good Work Environment, Good Relationships among colleagues"
"Appraisal, Bonus & Festival celebration","Increment, Bonus, Celebrations at Work"
salary hike....nothing else....none in management cares about our difficulies at working place n problem faced in current system.,Increments - Negative about management
good increment  &  promotion ,Increments and Promotions
"We get our salaries on time. Also, the surprise bonus that we've started getting after 5 years complition of Org X.","Increments, Bonus"
Performance Appraisal + Increment.   For eg-: When i get appraised for the work being done by me i develop a sense of inner satisfaction and i am deeply self motivated by this act. And yes so is the reward of my performance when i do get promoted and recognized for the way i am doing my work. ,"Increments, Recognition"
state of art infrastructure and machines..,Infrastructure
Leadership and persona of Dr. Trehan. ,Inspiring Leadership
Employees well being are taken care by the unit despite it's running on bad weather. ,Employee Welfare
Brand Value of the Group and organisation culture and facilities,Brand
..,NA
???,NA
"Not In Organization,but diversity and various opportunities ABG makes a sense of hope and happiness",Brand
We are the part of such a grand organisation 'Aditya Birla Group',Brand
The Team work and bonding with each other among emloyees.   When somebody  in the family falls sick (even for other members in his family)  co-employees help during this time.,"Collaboration and teamwork, supportive colleagues"
"It is a Learning Organization. In past 9 years I have implemented several innovative projects, some of which met with great success but some failed miserably, I have never been questioned but have been instructed to understand what went wrong, which need to be corrected.",Culture of Learning
1. Adaption of latest technologies/practices at workplace.,Techonologically driven
EMIL being part of reputed group gives me the feeling of  belonging to the group .,Brand
Celebration of major festivals and Gym for exercise at all locations.,"Celebration of festivals, gym"
Opportunity to do good and meaningful work,Work
Even our mines is not in operation but  salary is on time.,Timely Salary
It is the freedom to think and implement new ideas. Seniors are quite open to new ideas and foster such environment.,Freedom of expression
When Senior appreciates my work. Example: Our CFO Shri Arun Garg Ji always appreciate and say thanks to me whenever i have done a veryu good job.   ,Appreciation
Modernization and Advancement of Mining Business and world class Professional practices.,World class practices
Job Satisfaction ,Job Satisfaction
There is no happiness here. Life is completely bloated out by work pressure and coercion of superiors.,NA
The biggest source of happiness is As employee of Aditya Birla Group  ,Brand
Work Challenge,Challenging work
Having working for a great company inspired me to  work happily,Brand
Work.,Challenging work
Team work.we all used to work together for Optimum Production in Disciplined manner.,Collaboration and Teamwork
Seamless working of all departments under operation team.,Collaboration and teamwork
Cohesion,Bonding
We are achieved production target within timeline.,Achievement Of Targets
NATURAL BEAUTY,NA
When our annual coal production target achieved,Achievement Of Targets
Values of the organization,Values
deliverance,NA
Appriciatian  ,Appreciation
Biggest Source of happiness in our organization is work culture is very much appreciable.,Positive org culture
The Value system..,Values
The culture & Values,"Org Culture, Values"
"Employee care and basic amenities like , good education/school facilities for children.  ",Employee Welfare
Recognitions ,Recognition
Work independently with the guidance of seniors.,Autonomy
Group Values ,Values
Helping subordinates to nurture themselves,Collaboration and Teamwork
stability and friendly atmosphere. Most people work since last one decade. ,Positive work environment
,NA
"Job satisfaction, engaged in  whole duty time.",Job Satisfaction
"Arrangement of events for entertainment in regular interval

Like EPL (Essel premere league)","Employee Engagement - Celebration of Festivals, Sports Events"
Good work atmosphere ,Positive org culture
Limitless opportunities to learn and grow and commitment to work life balance,"Culture of Learning, Work Life Balance"
Satisfaction in doing the work enstrusted upon me,Job Satisfaction
"Manager is very understanding and helping to create a cordial working atmosphere in office, which really enhances productivity.",Motivation from managers
Togetherness,Family like
Celebrating Employees Birthdays. ,Employee engagement - birthday celebration
"1. OPENNESS
2. CELEBRATION OF FESTIVAL AND ACHIEVEMENT","Openness, Employee Engagement - Celebration of Festivals"
celebrating festival,Celebration of festivals
Long association with the organisation,Belongingness
committed team members,Commitment
Colleagues are very helpful and cooperative,Supportive Colleagues
"Get together, appreciation","Employee Engagement -Get togethers, appreciation"
"Love, Compassion & trust towards employees by the management.","Trust, Compassion"
Encouragement for all well doing on job & out of job.,Recognitionand Appreciation
FREE TO TAKE DECESSIONS,Autonomy
Celebrating festival together,Celebration of festivals
Work Culture - Every one is independent to work in theirs own way.,Positive org culture
If the coal production of our unit would achieve the target than its the biggest source of happiness.,Achievement Of Targets
friendly working atmosphere,Positive work environment
"Company Values,Job security ,Learning & career Devlopment etc.","Values, Learning and Development"
Positive outcomes at work.,Achievement Of Targets
Freedom to work and to initiate to new things. Many new employee engagement activities have been started due to this.,Autonomy
"Working environment.
People are very friendly and co-operative. Feel like a home.",Positive work environment
ACHIEVEMENT ,Achievement Of Targets
"Good Place to Work, Great Extracurricular activities",Positive org culture
Good co-operation with all astaf & Management employes ,Collaboration and Teamwork
"Sorry there is no such thing in our organisation, but we are happy to work with ABG group",NA
Creative approach and freedom to work,Autonomy
My colleagues are the biggest source happiness as they always encourage me in my professional work.,Relationship with colleagues
PROPER EVALUATION OF JOB,NA
The biggest source of happiness comes from gathering of people in certain events or festivals.fr ex-celebrating holi or conducting a cricket tournament,"Employee Engagement - Celebration of Festivals, Sports Events"
What it meant?,NA
"As usual, biggest source of happiness is to fulfill the production target. ",Achievement Of Targets
"My colleagues are very joyful and full of energy. 
Eg. Even during hectic times we sit together and plan our work and pressure situation is easily handled, 
During lunch hours we can share our thoughts and that helps build trust among ourselves",Relationship with colleagues
"Seamlessness among all departments.

All departments have the practice to contribute their invaluable time & effort when cooperation of other departments is utterly required regarding any work what is not possible to be completed without another department's cooperation.

For example, at the time of Value Celebration, comEx, and other employee engagement we derive cooperation of all departments.",Collaboration and teamwork
Friendly environment with all employees.,Positive work environment
Appreciation by seniors.,Appreciation
The people around us!,Relationship with colleagues
"Job Satisfaction: I feel importance of my services, because the management involves me for sharing my ideas, experiences in most of the activities under mine planning & execution, management of regulatory aspects in forest & lease matters.",Job Satisfaction
Expression of your talent & timely recognition.,Recognition
Celebrate all festivals with each other,Celebration of festivals
The belongingness amongst the employees.,Belongingness
Flexibility,Flexibility
collegues,Relationship with colleagues
Team work. Celebration of Annual Mines Safety Week-2013-14.,"Collaboration and Teamwork, Celebrating achievement"
Transparency,Transparency
NA,NA
good culture. ,Positive culture
Neither Agree nor Disagree,NA
Company is concerned about the well being of the employees,Employee Welfare
"Sharing happy & sorrow moments, getting salary in time, suppliers are also getting timely payment, living in Co's colony, so participating in all happy & sorrow family functions, celebrating all functions jointly.",belongingness
NO COMMENTS,NA
"Regular communication exercise that gives platform to share our success and failure, joys and sorrows.",Communication 
"Good quality of work, friendly colleagues and better work life balance","Positive org culture, work life balance"
"Aesthetic, clean & well maintained office. ",Infrastructure
Open-Ended Response,NA
Good culture,Positive org culture
The Brand Name of Aditya Birla Group.,Brand
"Spending time with colleagues, unofficially.  During leisure time we sit together and chat, sometimes go out for lunch or tea",Relationship with colleagues
"Emotional attachment, good relationship amongst people and working in a organisation that cares employees",Relationship with colleagues
WELL BEING ENVIRONMENT WITH PLEASANT ATMOSHSPEAR.,Positive work environment
Motivation by Performance ,Achievement Of Targets
We belong to ABG group and its core values. Profitability and increase in  production of the organisation is the biggest source of organization. ,Values
"Getting money.
Good working Environment",Positive work environment
Stability of job and clearly defined roles. ,Stability
Nothing,NA
WORK CULTURE & LEARNING ,"Positive culture, culture of learning"
Each and every people are well taken care by the organisation.,Employee Welfare
"By and Large Fair Decision Making:
Good professionals in the Group ensure better Decision Making.
Odd Manager with unprofessional attitude/behaviour gets neutralized by other thorough professionals and better sense prevails generally. ",Fair Decision Making
Being part of One ABG keeps the motivation high.,Belongingness
Compassion to Job Security & Employee Relationship,Job Security
peaceful work environment due to top level management who deal contractual service in cool way with client and subordinate.,Positive work environment
"Any event organize in mass gathering with family members, i.e. Picnic, New year celebration etc.","Family day event, celebrations"
"HOLI Celebration with staff as well as workmen.
Staff Picnic, sports day celebration , CSR Activities etc. ",Employee Engagement - Celebration of Festivals
"Involvement in every occasion.
i.e. Achievement highest production.",Achievement Of Targets
"The biggest source of happiness is our group values and the reputation of our brand, which people are respect these two.we are proud to be the employee of the group.","Values, Brand"
"celebration of festivals together , Officer and ladies club activities.",Employee Engagement - Celebration of festivals
"work environment,because it gives me pleasure to execute my responsibility.",Positive work environment
Get together in festivals Like club function. ,Employee Engagement - Festivals and Events
,
Work Location & better work life balance,Work life balance
Getting Salary in time.,Timely Salary
Work with happiness,work
,NA
We have emotionally joint to each other in between employee. ,Belongingness
Celebration of all kind of festivals ,Employee engagement - celebration of festivals
For my self- doing my duty is the biggest happiness for me in my organization,Work
"Team work.

We have achieved 300.00 Mt production per month  ",Collaboration and Teamwork
"Recognition
When your contribution to the organization is valued and recognised.",Recognition
I am valued member of the team. Many times my input is factored for decision making by the top management. On my input MDM scheme was discontinued since our financial resource was getting limited.,Values employees
X,NA
x,NA
FEEL FREE FOR DISCUSSION ,Freedom of expression
TO MEET PRODUCTION TARGET- if TARGET ACHIVED ALL CELEBRATES,Achievement Of Targets
WORK SULTURE,Positive org culture
Trust on employee by higher authority. provides chance to improve yourself. ,Good team communication
Work environment -   ,Good  work environment
 - when the organization bags any important projects.  - good and timely financial payments in a transparent manner.,projects bagged by the organization
Trust and giving chance to learning,Learning and development
The state team we work with,Team
Working together with the other team members.  sharing ideas with each other.,Team work
"Even though work schedule is made, we have the freedom of doing it in our own way. ",freedom given to employees
Good environment to work.,Good  work environment
Respect is given to all employee,Respect of employees
Birth day celebration of all staff is biggest source of happiness in our organization. ,Birth day celebration 
Work independently is the main source of happiness.,Work independently
Values and respect for nursing.  great plateform for innovations.ex.if i do some use creativity during session apm appreciate and shared with other level also.,Values and respect for nursing
Giving freedom. to achieve the organization and project goals and objectives. as a employ i have full freedom to plan & do action basis on the ground basic.  ,freedom given to employees
Providing space to express self thoughts.,Employee welfare
In this organisation all members are so many co-operative.,Good  work environment
I am satisfy with my roles & responsibilities. the most important part is i could faclitate for expanding the services to the rural setting and rural needy women are benefited becouse of our intervention., roles & responsibilities
Giving chance to improve ourselves,Option for growth 
Providing cac services across india ,Work type
"Organization work culture, openness, free to share ideas, feasibility of innovation & leadership of organization.  ",Good  work environment
Friendly relationship each other employees.,Good team communication
There is openness in sharing individual views. no strict hierarchy in the organisation for communication. clear defined roles and responsibilities for individuals and departments.,freedom given to employees
Option for growth ,Option for growth 
Team work and joyful work environment.  ,Team work
Annual meeting is a biggest source of happiness to all.  e.g. all team member enjoy with each other ,Employee get together in annual meeting
"Openness, space to share our thoughts and respect to individual irrespective of levels is the key source of happiness. also personal care and support at difficult times  is the key source of happiness",freedom given to employees
Eating lunch together,Eating lunch together
"The work we do, serving community to ensure well being of women.",Work type
Working with the community,Good  work environment
Culture and transparency ,freedom given to employees
No comment,N.A.
Freedom  to share your views...direct upper authority.....,freedom given to employees
"Freedom for making our own work plan, so that we achieve our goal. ",freedom given to employees
Great leadership,Good and unbiased leadership attitude
Supervisor support,Supervisor support
"The environment is friendly and open. for example, i can walk up to my supervisor and seek guidance and advice.",Good  work environment
"Employee working  together with happiness and there is no point of heirarchy, which make the continuous flow of information with transparency among the team member.",Good team communication
Annual meeting.,Employee get together in annual meeting
Good team building and cooperative work,Team work
The fact that i work for an organisation that is built with great values and ethics; the exemplary leadership by the ed and the strong positive work culture of idf.,Positive organisational culture
Our working objectives are clearly defined and we know where we need to contribute that makes me happy. ,Work type
The cause for which all of us dedicatedly work for,Cause of the Company
1. understanding between team   2. try to conduct meetings at different places in india.  ,Team
"A feeling of 'family',   focused intervention   ",Good  work environment
People maintained friendly and faithful relationship.,Good team communication
There is no happiness ,no happiness
"Feedback : all employees give feedback back each other, training, pts, etc. ",Feedback amongst employees
I get paid on time,Salary
Trust and supportive team member,Good team communication
Very supportive organization with employees. ,Supervisor support
Strength of the employees,Employee strength
Open working environment with complete freedom to exercise once thoughts and ideas.  unbiased and non-judgemental attitude of top management.,Good and unbiased leadership attitude
"Work with an appreciable social life with the co-workers brings a lot of happiness in my life. the organisation has led me to make many friends and promoted the qualities of teamwork and cooperation in me. for example, while traveling distant places for training purpose, i enjoy the company of my team mates which makes the long journey pretty adventurous as well.",Good team communication
Understanding and helpful nature of staff,Helpful staff
We- the people of our organization  human resource is the life blood of our organization.,Team  
The work we can do on field and we are able to see the change we have made at field level,Work type
Trust on employees,Good team communication
Helping the community,Work type
Faith of senior of other  ,Supervisor support
When my supervisor appreciated me after completing task. ,Supervisor support
Passion,Passion
Job satisfaction,Job satisfaction
 great workplace.,Good  work environment
.,N.A.
"Transparency of work, trust to each other",Transparency of work
We are given opportunity to take decisions and also expressed our views.,freedom given to employees
Work together,Good  work environment
Field of work,Work type
I feel very happy working in my organisation because all of my colleagues encourage me to work freely in the program sites. thats why i get chance to enhance my knowledge to work in any adverse situation.,Good team communication
Na,N.A.
"The culture of the organization, the freedom and space to operate independently and speak ones own mind. ",Good  work environment
No,N.A.
Trancerency of work,Transparency of work
I am doing my work/responsibilities  to my level best and m happy with that,Work type
No comment,N.A.
"Freedom work, ",freedom given to employees
Organization every staff is always available for any type of assistance at any time. ,Good team communication
Chance to develop,Learning and development
Yes,N.A.
Has good manpower with lot of experience. policy of the organization.,Hr policy 
"All day i take lunch with my colleagues, it make me very happy . ",Eating lunch together
"Festivals celebrate in office, birthday celebration",Employee engagement
My team,Team work
Team effort and result,Team work
"Team work..when we work together and sharing experiences,feedback with each other for improving ourself",Team work
All staff is very cooperative and done good job.,Team
* payment on time   ,Salary
My colleagues ,Good team communication
Caring,Good  work environment
"Working for the better living of women population of our country and increase accessibility to quality contraceptive services even in remote tribal areas like hiranpur, maheshpur. smiles on the faces of these satisfied women makes me happy. ",Saving Women
The respect and peace provided in the office,Good  work environment
Familial environment,Good  work environment
The non-hierarchical work culture. people work here more independently and valued for the work done.,Good  work environment
1. transparency in work and information to everything.  2. involvement of the ground staff while designing the projects.,Transparency of work
We save women's life with our work,Work type ; Saving  Women 
The transparent relationship between all the members of our organisation makes me happy.this is one of the biggest source of happiness for me.we respect each other and works like a family. ,Transparency of work
Na,N.A.
"Joyfull environment, regular outing ",Good  work environment
"When i do something and that is appreciated and recognized, i feel that is the biggest source happiness. i had made training videos for the organization which i had to work very hard to accomplish. when it was accomplished i was much appreciated. in general i think if i work hard with honesty and sincerity, i get recognition. ",Appreciation from the management
"Work culture, openness & trust.",Good  work environment
Work culture  openness  no bossiesm,Good  work environment
Working culture and transparency,Good  work environment
Motivational environment and supervisor support ,Supervisor support
Friendly work enviroment ,Good  work environment
Achievement of targeted work.,Achievement of targeted work
Contributing to the mission of the organisation,Contributing to the mission of the organisation
Freedom & independence in work and support extended by senior colleagues to staff who all are in difficult situation.,freedom given to employees
Employee get together as a annual review meeting through this meeting we get a chance to meet other state employees and share our different experiences. ,Employee get together
We work on the women issues which are most neglected in indian society. ,Work type
Conversation with all staffs & support get from field level to director of all department.,Supervisor support
Feel free communication and joyful work culture.,Good team communication
Well communication to each other.,Good team communication
"Independent working atmosphere, freedom to express one's feelings,  practice  and appreciation of any new idea ",Work independently
Free flow of communication and transparency  ,Good team communication
We love our work because we believe it is making a difference in the lives of women whom we are working for.,Work type
Working environment,Good  work environment
Hr policy ,Hr policy 
Senior management always accessible for employees.,Supervisor support
"All staff members live like a family,and cooperate with each other",Good  work environment
Achieving the targets,Achieving the targets
Working plan  ,Work type
Our mission. we work for woman's reproductive health care with a focus on safe abortion services along with appropriate post abortion family planning method she could use.,Saving Women
Interdisciplinary  approach & support from supervisor ,Good team communication
10/10 becuase of idf work culter.,Good  work environment
Positive attitude of staff members and support by management.,Good team communication ; Supervisor support
Credit message of salary,Salary
Freedom of work and sharing thoughts openly,freedom given to employees
"Team bonding, pleasing lunch, no hierarchical segmentations. if requires, we don't hesitate sharing our time for other unit. our lunch time is exciting where we discuss everything other than work. ceo and senior directors easily accessible to all staff.",Eating lunch together
"The biggest source of happiness in my organization is lunch time, when we gather together and enjoy our food with each other.",Eating lunch together
Family culture,Family culture
I don't know what is the biggest happiness our organisation because my new joining but.. something observed...my biggest happiness is salary comes timely and annual meeting in other places..,Salary
Team sprit a biggest source of happiness,Good team communication
1.take initiative   2. say thank you with everyone  3. my goals    4. smile face,Good  work environment
"In delhi office we eat lunch together and do lot of non work related talks like about sports, about vacation someone had or is planning etc. we laugh a lot. we stand for each other. ",Good team communication
When all work with each other in positive and as a team,Good team communication
Salary on time ,Salary
A word of appreciation from the management,Appreciation from the management
Helping and coordination nature ,Helpful staff
Project and organization's vision,projects bagged by the organization
"The core purpose of our organization, our commitment to women's access to safe abortion services and each person's commitment to making this a reality is what makes idf a great place to work. ",Good  work environment ; employee is valued
"Time to time ,meetings organised at good places and venue , under the meeting ,the organisation want to share field experiences each one.  the top leaders try to interacted with each staffs and learn about their view for improving organisation culture. the two top leader is back bone of the organisation .they always want to do best for every staffs .ex. top leader interacted with each staffs for solve their issues and problems.",Activity venues
"State team support & bonding, ",Good team communication
Good team communication,Good team communication
When working in rural area for saving life like in interior the making of service avaliblity,Work type
Good environment amongst team members.,Good team communication
The sense of togetherness and belongingness ,Positive organisational culture
The gathering of time to time during annual and half early review.,Employee engagement
"Working for the organization's mission and vision is the biggest source of happiness. in addition, you can express you views openly which boost your confidence to work.",Organisation vision
Support and transparency.    relation between my team,Supervisor support
Supervisor support,Supervisor support
Good work place ,Good  work environment
It's culture & working environment ,Good  work environment
Work environment,Work environment
Good food,Good food
Work environment,Work environment
The work environment,Work environment
Plants , 
Pleasant work ethics, work ethics
Work place environment,Work environment
Good work environment,Work environment
Recreational area,Recreational
The food,Good food
